iter	Passed	Remaining
399	60901	91352
400	60996	91114
401	61115	90913
402	61244	90726
403	61341	90494
404	61484	90328
405	61558	90063
406	61640	89810
407	61712	89543
408	61787	89282
409	61894	89066
410	61981	88825
411	62122	88659
412	62343	88608
413	62456	88404
414	62651	88315
415	62809	88174
416	62901	87941
417	63072	87818
418	63227	87674
419	63353	87488
420	63532	87375
421	63695	87242
422	63798	87024
423	64111	87094
424	64224	86891
425	64353	86711
426	64474	86519
427	64706	86477
428	64826	86283
429	64934	86076
430	65219	86102
431	65444	86047
432	65557	85845
433	65673	85647
434	65801	85465
435	65924	85277
436	66097	85154
437	66237	84990
438	66356	84797
439	66495	84630
440	66600	84420
441	66706	84212
442	66890	84104
443	67049	83963
444	67290	83924
445	67395	83715
446	67578	83603
447	67703	83420
448	67834	83244
449	67967	83070
450	68208	83029
451	68336	82850
452	68466	82673
453	68732	82661
454	68947	82584
455	69069	82398
456	69237	82266
457	69376	82101
458	69466	81876
459	69551	81646
460	69637	81419
461	69717	81185
462	69808	80965
463	69954	80809
464	70115	80671
465	70261	80514
466	70362	80307
467	70536	80182
468	70660	80001
469	70754	79787
470	70826	79547
471	70907	79320
472	71005	79111
473	71097	78897
474	71242	78741
475	71374	78572
476	71448	78338
477	71584	78173
478	71719	78007
479	71861	77850
480	72022	77712
481	72144	77532
482	72274	77362
483	72358	77142
484	72500	76984
485	72664	76850
486	72773	76658
487	72965	76553
488	73046	76332
489	73204	76192
490	73332	76020
491	73433	75821
492	73516	75604
493	73596	75384
494	73720	75209
495	73834	75025
496	73960	74853
497	74070	74665
498	74276	74574
499	74345	74345
500	74455	74157
501	74549	73955
502	74715	73823
503	74819	73631
504	74892	73409
505	75002	73223
506	75114	73040
507	75271	72900
508	75396	72730
509	75472	72512
510	75547	72294
511	75626	72081
512	75703	71866
513	75813	71683
514	75891	71470
515	76002	71289
516	76091	71087
517	76224	70926
518	76386	70794
519	76493	70609
520	76635	70457
521	76729	70262
522	76861	70101
523	76971	69921
524	77057	69718
525	77181	69550
526	77276	69358
527	77377	69170
528	77479	68984
529	77713	68915
530	78047	68934
531	78187	68781
532	78331	68632
533	78449	68459
534	78669	68375
535	78789	68206
536	78948	68069
537	79146	67965
538	79475	67974
539	79588	67797
540	79702	67621
541	79981	67585
542	80142	67449
543	80251	67269
544	80427	67145
545	80531	66962
546	80645	66786
547	80758	66610
548	80973	66519
549	81087	66344
550	81348	66289
551	81455	66108
552	81552	65920
553	81801	65854
554	81912	65677
555	82074	65541
556	82206	65381
557	82336	65219
558	82451	65046
559	82614	64911
560	82812	64803
561	83027	64708
562	83262	64628
563	83383	64459
564	83676	64423
565	83784	64244
566	83883	64059
567	84007	63893
568	84142	63735
569	84267	63569
570	84433	63436
571	84592	63296
572	84779	63177
573	84874	62990
574	84957	62794
575	85035	62595
576	85110	62394
577	85222	62221
578	85303	62025
579	85376	61824
580	85469	61638
581	85548	61441
582	85652	61264
583	85737	61073
584	85911	60945
585	86006	60762
586	86097	60576
587	86213	60407
588	86327	60238
589	86487	60101
590	86561	59904
591	86638	59710
592	86703	59507
593	86830	59348
594	86916	59161
595	87025	58990
596	87152	58831
597	87363	58729
598	87520	58590
599	87643	58429
600	87713	58232
601	87842	58075
602	88001	57937
603	88130	57780
604	88243	57613
605	88327	57427
606	88402	57235
607	88478	57045
608	88575	56868
609	88658	56683
610	88731	56491
611	88859	56335
612	88936	56147
613	88997	55949
614	89094	55774
615	89185	55595
616	89365	55473
617	89459	55296
618	89564	55127
619	89627	54933
620	89744	54771
621	89900	54633
622	89988	54455
623	90094	54287
624	90201	54121
625	90321	53961
626	90419	53790
627	90558	53643
628	90706	53501
629	90792	53322
630	90890	53151
631	91023	53001
632	91124	52832
633	91220	52660
634	91302	52480
635	91456	52342
636	91636	52219
637	91784	52078
638	91915	51927
639	92014	51758
640	92186	51630
641	92431	51542
642	92576	51399
643	92721	51256
644	92860	51109
645	92970	50946
646	93273	50889
647	93494	50786
648	93602	50623
649	93810	50513
650	93928	50354
651	94079	50214
652	94361	50143
653	94547	50020
654	94678	49868
655	94867	49747
656	94978	49585
657	95132	49445
658	95268	49296
659	95452	49172
660	95726	49094
661	95898	48963
662	96032	48813
663	96148	48653
664	96364	48544
665	96626	48458
666	96742	48298
667	96882	48151
668	96983	47984
669	97168	47859
670	97389	47751
671	97601	47639
672	97850	47543
673	98132	47464
674	98310	47334
675	98468	47194
676	98558	47022
677	98712	46881
678	98831	46723
679	99094	46632
680	99252	46492
681	99396	46346
682	99490	46176
683	99596	46012
684	99672	45834
685	99768	45666
686	99881	45506
687	99975	45337
688	100062	45166
689	100143	44991
690	100219	44815
691	100378	44676
692	100466	44506
693	100550	44334
694	100652	44171
695	100748	44005
696	100872	43851
697	100956	43680
698	101044	43511
699	101205	43373
700	101375	43239
701	101498	43086
702	101610	42927
703	101715	42766
704	101815	42603
705	101904	42435
706	101996	42269
707	102124	42119
708	102221	41955
709	102322	41793
710	102432	41635
711	102540	41476
712	102638	41314
713	102758	41160
714	102843	40993
715	103031	40867
716	103141	40710
717	103217	40539
718	103329	40383
719	103408	40214
720	103507	40053
721	103619	39897
722	103757	39752
723	103922	39616
724	104001	39448
725	104106	39290
726	104207	39131
727	104285	38963
728	104377	38801
729	104443	38629
730	104520	38462
731	104604	38297
732	104675	38128
733	104846	37996
734	104913	37825
735	105026	37672
736	105101	37505
737	105192	37344
738	105257	37175
739	105368	37021
740	105448	36857
741	105540	36697
742	105618	36533
743	105739	36383
744	105805	36215
745	105879	36050
746	105985	35896
747	106104	35746
748	106189	35585
749	106259	35419
750	106369	35267
751	106457	35108
752	106564	34955
753	106676	34804
754	106788	34653
755	106943	34516
756	107038	34359
757	107113	34197
758	107216	34043
759	107319	33890
760	107423	33737
761	107581	33601
762	107911	33519
763	108091	33389
764	108376	33292
765	108492	33142
766	108612	32994
767	108716	32841
768	108823	32689
769	108931	32538
770	109209	32437
771	109358	32297
772	109541	32168
773	109671	32023
774	109866	31896
775	109976	31745
776	110088	31595
777	110206	31446
778	110309	31294
779	110464	31156
780	110573	31005
781	110751	30874
782	111010	30765
783	111124	30616
784	111260	30472
785	111366	30321
786	111464	30167
787	111592	30022
788	111711	29874
789	111880	29740
790	111988	29589
791	112133	29449
792	112243	29299
793	112436	29171
794	112698	29060
795	112816	28912
796	113078	28801
797	113262	28670
798	113399	28527
799	113502	28375
800	113714	28251
801	113900	28120
802	114002	27968
803	114100	27815
804	114246	27674
805	114343	27522
806	114482	27379
807	114653	27244
808	114760	27094
809	114887	26948
810	115041	26809
811	115119	26653
812	115207	26499
813	115296	26345
814	115405	26196
815	115475	26038
816	115664	25907
817	115799	25764
818	115905	25615
819	116068	25478
820	116268	25349
821	116365	25198
822	116475	25049
823	116620	24909
824	116690	24752
825	116752	24594
826	116933	24461
827	117005	24305
828	117162	24167
829	117251	24015
830	117322	23859
831	117459	23717
832	117621	23580
833	117749	23436
834	117914	23300
835	118007	23149
836	118139	23006
837	118220	22854
838	118356	22712
839	118442	22560
840	118519	22407
841	118601	22255
842	118704	22107
843	118837	21965
844	118929	21815
845	119018	21665
846	119127	21518
847	119297	21383
848	119429	21241
849	119530	21093
850	119627	20945
851	119707	20794
852	119786	20643
853	119877	20494
854	119995	20350
855	120096	20203
856	120188	20054
857	120271	19905
858	120373	19758
859	120475	19612
860	120557	19462
861	120746	19330
862	120819	19179
863	120892	19029
864	120989	18882
865	121088	18736
866	121162	18586
867	121257	18440
868	121330	18290
869	121484	18152
870	121562	18004
871	121727	17868
872	121847	17725
873	121911	17575
874	122014	17430
875	122108	17284
876	122196	17138
877	122363	17002
878	122444	16855
879	122623	16721
880	122761	16581
881	122864	16437
882	123024	16301
883	123165	16161
884	123284	16020
885	123531	15894
886	123633	15750
887	123731	15605
888	123892	15469
889	123993	15325
890	124116	15183
891	124229	15041
892	124328	14897
893	124440	14754
894	124550	14612
895	124676	14471
896	124774	14327
897	124877	14184
898	124976	14040
899	125191	13910
900	125449	13784
901	125555	13641
902	125650	13497
903	125765	13355
904	125968	13223
905	126249	13098
906	126357	12956
907	126504	12817
908	126796	12693
909	127059	12566
910	127356	12442
911	127457	12298
912	127624	12161
913	127753	12020
914	127875	11879
915	128008	11738
916	128258	11608
917	128379	11467
918	128515	11327
919	128679	11189
920	128815	11049
921	128996	10912
922	129295	10786
923	129509	10652
924	129671	10513
925	129781	10371
926	129987	10236
927	130130	10096
928	130371	9963
929	130493	9822
930	130604	9679
931	130720	9537
932	130855	9396
933	130956	9253
934	131112	9114
935	131221	8972
936	131344	8831
937	131463	8689
938	131644	8551
939	131916	8420
940	132167	8286
941	132324	8147
942	132439	8005
943	132535	7862
944	132595	7717
945	132697	7574
946	132786	7431
947	132897	7289
948	132990	7146
949	133070	7003
950	133154	6860
951	133253	6718
952	133343	6576
953	133425	6433
954	133523	6291
955	133635	6150
956	133698	6007
957	133824	5867
958	133942	5726
959	134008	5583
960	134191	5445
961	134265	5303
962	134396	5163
963	134485	5022
964	134563	4880
965	134677	4740
966	134752	4598
967	134933	4460
968	135014	4319
969	135097	4178
970	135188	4037
971	135277	3896
972	135357	3756
973	135437	3615
974	135528	3475
975	135650	3335
976	135726	3195
977	135795	3054
978	135861	2914
979	135939	2774
980	136018	2634
981	136149	2495
982	136250	2356
983	136373	2217
984	136462	2078
985	136569	1939
986	136730	1800
987	136821	1661
988	136913	1522
989	137069	1384
990	137206	1246
991	137347	1107
992	137495	969
993	137587	830
994	137754	692
995	137829	553
996	137931	415
997	138055	276
998	138171	138
999	138304	0
